Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 3s, user_time = 7s, system_time = 0, batch_count = ?, play_count = 1, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 7s, user_time = 41s, system_time = 0, batch_count = ?, play_count = 9, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 15s, user_time = 1m33s, system_time = 0, batch_count = ?, play_count = 25, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 26s, user_time = 3m3s, system_time = 0, batch_count = ?, play_count = 49, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 45s, user_time = 5m32s, system_time = 0, batch_count = ?, play_count = 89, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 1m18s, user_time = 10m2s, system_time = 0, batch_count = ?, play_count = 161, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 2m18s, user_time = 18m, system_time = 0, batch_count = ?, play_count = 289, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 3m18s, user_time = 25m59s, system_time = 0, batch_count = ?, play_count = 417, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 4m18s, user_time = 33m57s, system_time = 0, batch_count = ?, play_count = 545, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 5m18s, user_time = 41m56s, system_time = 0, batch_count = ?, play_count = 673, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 6m19s, user_time = 49m55s, system_time = 1s, batch_count = ?, play_count = 801, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 7m19s, user_time = 57m54s, system_time = 1s, batch_count = ?, play_count = 929, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 8m19s, user_time = 1h5m53s, system_time = 1s, batch_count = ?, play_count = 1057, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 9m19s, user_time = 1h13m55s, system_time = 1s, batch_count = ?, play_count = 1186, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 356, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 10m19s, user_time = 1h21m57s, system_time = 1s, batch_count = ?, play_count = 1315, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 360, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 11m19s, user_time = 1h29m56s, system_time = 1s, batch_count = ?, play_count = 1443, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 360, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 12m19s, user_time = 1h37m54s, system_time = 2s, batch_count = ?, play_count = 1571, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 360, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 13m19s, user_time = 1h45m53s, system_time = 2s, batch_count = ?, play_count = 1699, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 360, had_checker_misconfigurations = false}
